L1	163.8	110.8	100.6	86.3
L2.1	157.7	102.8	97.5	81.7
L2.2	131.7	105.3	167.6	85.2
L3	76.8	66.9	85.1	70.6
L4	115.1	101.5	115	102.4
L5.1	107	104.9	158.6	83.3
L5.2	162.8	108.7	124.8	86.8
L6	106.1	104.1	136.2	88.3
L7.1	163.9	111	104.5	86.5
L7.2	150	106.6	180.4	79.5
L8.1	130.3	106.4	157.9	77.1
L8.2	168.3	106.2	119.3	89.1
L9	157.8	108	101.9	83.8
L10.1	138.5	98.8	164.4	77.3
L10.2	158.7	102.7	144	84.9
L11.1	140.8	98.9	165.5	85.3
L11.2	153	100.4	160.4	83.5
L12	150.4	100.9	98	82.5
L13.1	139.3	101.4	166.6	77.5
L13.2	158.4	104.1	135.5	85.6
L14.1	150	102.2	102.7	80.3
L14.2	136.5	98.8	162.6	79.6
L15	160.5	109.3	100	85.3
L16.1	162.7	110.8	98.9	85.7
L16.2	140.5	109.9	174.7	80.5
L17	148.1	100.5	96.8	82.3
L18	156.6	102.6	97.9	82.9
L19.2	138.9	99.9	163.7	78
L20	155.6	104.1	100.8	80.8
L21	155.3	103.2	97.5	81.6
L22	157.2	109.5	101.1	81.5
L23	150.6	101.9	99.3	83.2
L24.1	136.8	102	168	80.1
L24.2	149.8	102	153.5	81.1
L25	155.2	107	96.6	81.7
L26	160.1	106.9	98.5	85.6
L27.1	132.4	100.2	166.7	79.8
L27.2	149.1	98.2	96	83.4
L28.1	166	110.6	103.8	89.2
L28.2	139.2	105.9	172.3	78.1
L29	96.7	100.7	166.4	78.7
L30	161.8	106.5	98.5	86.7
L31	167	113.4	100.7	88.8
L32	155.1	99.9	94.3	84.2
L33.1	147.2	100.5	160.2	82.2
L33.2	163	108.8	118.9	88.3
L34.1	97.1	100.4	167.5	80.1
L34.2	154.3	102.6	149.2	82.9
L35	150.9	100.3	96	82.9
L36	148.5	101.8	145.8	81.7
L37.2	163.8	106.7	154.5	88
L38.1	143.9	101.6	169.4	77.3
L38.2	154.3	102.2	96.8	82.4
L39	101.7	107.5	178.9	81.1
L40	97.9	102.3	173	78.6
L41.1	138.2	103.3	166.9	79
L41.2	153	98.4	93.3	84.6
L42	99	104.4	176.8	77.9
L43	150.4	100.2	98.8	80.5
L44	99.1	107.4	178.8	77.8
L45.1	136.7	101.3	166.5	78.9
L45.2	159	103.7	108	82.2
L46.1	160.6	109.6	100.3	85
L46.2	152.6	106.7	176.3	79.9
L47	165.6	108.7	98.4	86.3
L48	155.2	104.3	97.2	82.3
L49.1	162.6	109.6	100	86.8
L49.2	152.4	106.6	179.7	81.5
L50.1	159.4	107.9	99.8	86.9
L50.2	154.1	108.3	173.1	81.7
L51.1	98.4	102.8	163.7	78.4
L51.2	155	101.2	144.9	79.4
L52	154.8	105.7	98.5	84.6
L53	163.1	106.6	99.7	85.5
L54.1	160.6	106	98.8	85.5
L54.2	139.2	106.2	177.8	82.7
L55	106.3	108.7	176.2	79
L56	164	107.6	98.2	84.8
L57	97.7	103	167.2	80.2
L58	159.9	110.5	98.2	84.5
L59	154.1	100.4	97.4	83.6
L60	157.5	106.8	98	84
L61	101	107.2	176	80.8
L62	149.5	102.2	97.1	81.3
L63	162	110.5	99.3	84.4
L64	97.7	103.7	163	77.6
L65	99.3	104.3	177	77.9
L66	149.2	100.7	99.2	83.9
L67	99.2	105.8	171.4	79.2
L68	141.9	99.6	88	80.7
L69	136	90.6	83.3	81.4
L70	145.2	99.3	88.6	86.6
L71	143.8	103.3	92.6	83.3
L72	100.6	155	108.6	63.2
L73	105.6	152.6	105.6	65.9
L74	101.6	153	107.5	66.1
L75	145.2	101.2	89.7	82.7
L76	142.4	101.8	90.8	116.9
L77	150	104	117.5	85.1
L78	150.2	104.9	89.9	85.2
L79	147.1	102.2	90.8	82.4
L80	142.5	97.9	128.5	80.7
L81.1	146.6	101.1	94.6	84.7
L81.2	137.8	154.6	105.3	79.9
L82.1	99.9	143.4	102	63
L82.2	140.7	126.4	91.7	80
L83	145.4	97.3	84	80.5
L84	146.9	99.5	124.4	84.9
L85.1	143.7	101.9	88.6	82.6
L85.2	136.1	157.9	105	74.9
L86	104.2	159.7	106.9	65.3
L87	146	100.8	137.8	81.2
L88	147.7	102.2	88.3	85.4
L89	140.2	97.8	121.8	86.4
L90	97.5	144.3	99.5	61.6
L91	96.5	137.3	96.8	59.9
L92	97.9	142	101.1	62.8
L93	145.6	99	109.5	80.2
L94	98.4	143.4	100.4	62.8
L95	102.7	141.5	101.4	63.7
L96.1	95.4	140.3	94.4	62.6
L96.2	145.7	134.6	100	80.5
L97	142.8	100.1	88.3	83.3
L98.1	133.5	137	100.8	73.2
L98.2	143	100.1	118.7	82.8
L99.1	136.6	95	84.1	118.1
L99.2	139.2	154.4	110.6	78.1
L100	150.2	103	90.5	85.5
L101	148.3	104.3	90	84.8
L102	98.8	145.8	101	61.9
L103	97.5	100.8	134.3	77.1
L104.1	144.4	96	85.5	79.1
L104.2	134.5	142.7	99	75.9
L105	100.4	143.6	100.6	68.5
L106	97.4	144.8	100.9	63.4
L107	101.9	151.9	103.6	66.2
L108	105.3	153.1	106.9	63.8
L109	105.3	155.1	103	64.8
L110	103.3	153.4	106.7	64.2
L111.1	150.2	100.2	90.8	85.6
L111.2	139.5	155.2	105.5	76.4
L112	144.2	138	98.2	120.1
L113	142.6	100.5	90.7	81.8
L114	104.2	154.2	105.8	67.7
L115	104.8	156	104.6	66.8
L116	106.5	160.5	106.4	65.7
L117	106.3	155.5	109.1	66.1
L118	103.8	153.8	107.4	63.1
L119	105.5	161.5	105.6	66.4
L120	105.2	158	104.8	67.7
L121	106.6	158.5	105.2	65.8
L122	110	154	106.2	66.3
L123	106.8	152.9	107.4	65.6
L124	105.4	155	109.6	66.5
L125	107	158.5	105.7	65.7
L126	99.4	144.3	98.8	62.9
L127	95.4	140	97.2	60.4
L128	96.2	139.4	98.1	62.7
L129	95.4	142.1	101	61.5
L130.1	132.5	137.2	100.9	74.7
L130.2	139	97.8	86.1	82.4
L131	96.5	146.2	101.7	65.1
L132	100	143.4	102.8	63
L133	105.4	155	105	65.4
L134.2	129.4	145.2	101.8	79.4
L135	141.1	141.1	99.8	80
L136	99.2	142.4	104.9	62.4
L137	92.6	133.7	97	62.2
L138	104.3	152.6	103.8	65.2
L139	140.7	148.4	100.1	114.6
L140	92.9	137.1	98.7	58.8
L141	103.6	153.3	103.2	64.2
L142	103.7	149.8	100.3	61.9
L143	104.5	152.3	102.2	64.2
L144	99.4	141	102	62.3
L145	95.3	139	96.5	59.1
L146	97.3	148.9	101.6	63
L147	105.2	156.1	106.6	65
L148	104.8	161.6	104.7	66.3
L149	107.2	157.7	104.4	66.3
L150	105.7	159.6	105.8	64.6
L151.1	140	95.1	84.2	122.3
L151.2	140	152.9	105.6	81.2
L152.1	98.2	141.4	101.7	63.1
L152.2	145.2	131.9	96.7	83.9
L153	144.7	98.3	89	83.3
L154	107.8	160.1	107.3	66.8
L155	146.2	101	87.3	84.5
L156	98.5	142.5	99.9	65
L157	107.9	155.9	107	66.1
L158.1	145.2	93.5	86.5	119.1
L158.2	134.7	148.7	103.5	79.6
L159.1	154.6	138.8	97.9	85.9
L159.2	107.1	153.8	106.9	64.9
L160	108	151.5	101.6	64.1
L161	107.7	160.7	104.3	66.2
L162	147.9	102.9	93.1	88.1
L163	146.9	103.4	93.3	86.1
L164	102.9	147.2	105.5	64.1
L165	106.5	156.5	106.8	66
