locus	assembly	family	sub_subfamily	sub_subfamily_confident	LF_class	LF_partner	LF_partner_sp	LF_partner_fam	LF_pid	LF_aln	LF_bits	RF_class	RF_partner	RF_partner_sp	RF_partner_fam	RF_pid	RF_aln	RF_bits	has_ortholog	both_flanks_orthologous	partner_family_vs_self
L1	arm	CLsat1	CLsat1.1	N	lowcomplex							truncated							N	N	
L2.1	arm	CLsat1	CLsat1.1	Y	truncated							satellite							N	N	
L2.2	arm	CLsat3	CLsat3.2	Y	satellite							lowcomplex							N	N	
L3	arm	CLsat3	CLsat3.2	Y	lowcomplex							lowcomplex							N	N	
L4	arm	CLsat3	CLsat3.2	Y	lowcomplex							lowcomplex							N	N	
L5.1	arm	CLsat3	CLsat3.1	Y	lowcomplex							satellite							N	N	
L5.2	arm	CLsat1	CLsat1.1	Y	satellite							truncated							N	N	
L6	arm	CLsat3	CLsat3.2	Y	lowcomplex							lowcomplex							N	N	
L7.1	arm	CLsat1	CLsat1.1	Y	lowcomplex							satellite							N	N	
L7.2	arm	CLsat3	CLsat3.2	Y	satellite							truncated							N	N	
L8.1	arm	CLsat3	CLsat3.1	N	telomeric							satellite							N	N	
L8.2	arm	CLsat1	CLsat1.1	N	satellite							truncated							N	N	
L9	arm	CLsat1	CLsat1.1	N	truncated							truncated							N	N	
L10.1	arm	CLsat3	CLsat3.1	Y	truncated							satellite							N	N	
L10.2	arm	CLsat1	CLsat1.1	Y	satellite							lowcomplex							N	N	
L11.1	arm	CLsat3	CLsat3.1	Y	truncated							satellite							N	N	
L11.2	arm	CLsat3	CLsat3.2	Y	satellite							lowcomplex							N	N	
L12	arm	CLsat1	CLsat1.1	Y	lowcomplex							lowcomplex							N	N	
L13.1	arm	CLsat3	CLsat3.1	Y	truncated							satellite							N	N	
L13.2	arm	CLsat1	CLsat1.1	Y	satellite							lowcomplex							N	N	
L14.1	arm	CLsat1	CLsat1.3	Y	truncated							satellite							N	N	
L14.2	arm	CLsat3	CLsat3.2	N	satellite							lowcomplex							N	N	
L15	arm	CLsat1	CLsat1.1	N	unique	L513.1	val	CLsat1	100.0	530	579.4	unique							Y	N	SAME
L16.1	arm	CLsat1	CLsat1.1	Y	unique							satellite							N	N	
L16.2	arm	CLsat3	CLsat3.2	Y	satellite							telomeric							N	N	
L17	arm	CLsat1	CLsat1.1	N	truncated							unique							N	N	
L18	arm	CLsat1	CLsat1.3	N	truncated							lowcomplex							N	N	
L19.2	arm	CLsat3	CLsat3.2	Y	lowcomplex							truncated							N	N	
L20	arm	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L21	arm	CLsat1	CLsat1.1	N	truncated							truncated							N	N	
L22	arm	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L23	arm	CLsat1	CLsat1.1	Y	truncated							unique	L514.2	val	CLsat3	100.0	349	395.8	Y	N	DIFFERENT
L24.1	arm	CLsat3	CLsat3.1	Y	truncated							satellite							N	N	
L24.2	arm	CLsat3	CLsat3.2	Y	satellite							lowcomplex							N	N	
L25	arm	CLsat1	CLsat1.1	Y	lowcomplex							truncated							N	N	
L26	arm	CLsat1	CLsat1.1	Y	truncated							truncated							N	N	
L27.1	arm	CLsat3	CLsat3.1	Y	truncated							satellite							N	N	
L27.2	arm	CLsat1	CLsat1.3	N	satellite							lowcomplex							N	N	
L28.1	arm	CLsat1	CLsat1.2	N	truncated							satellite							N	N	
L28.2	arm	CLsat3	CLsat3.2	Y	satellite							truncated							N	N	
L29	arm	CLsat3	CLsat3.1	Y	truncated							telomeric							N	N	
L30	arm	CLsat1	CLsat1.1	Y	truncated							lowcomplex							N	N	
L31	arm	CLsat1	CLsat1.1	Y	lowcomplex							truncated							N	N	
L32	arm	CLsat1	CLsat1.1	N	truncated							lowcomplex							N	N	
L33.1	arm	CLsat3	CLsat3.1	N	lowcomplex							satellite							N	N	
L33.2	arm	CLsat1	CLsat1.1	N	satellite							truncated							N	N	
L34.1	arm	CLsat3	CLsat3.1	Y	truncated							satellite							N	N	
L34.2	arm	CLsat1	CLsat1.1	N	satellite							truncated							N	N	
